,German,中文,Example
65,Stimme,声音,Seine Stimme war sanft und beruhigend.
66,"piepst (piepsen, piepst, piepste, hat gepiepst)",吱吱叫,Das kleine Küken piepst fröhlich.
67,"reißen (reißen, reißt, riss, hat/ist gerissen)",撕裂,Der laute Knall ließ das Papier reißen.
68,Spielfeldrand,场地边缘,Die Zuschauer stehen am Spielfeldrand und feuern ihr Team an.
69,fuchteln,挥舞,"Er begann wild mit den Armen zu fuchteln, um Aufmerksamkeit zu erregen."
70,Uraltspruch,古老的谚语,Dieser Uraltspruch hat immer noch Weisheit in sich.
71,Latte,横梁,Der Ball prallte gegen die Latte des Tores.
72,"knallt (knallen, knallt, knallte, hat geknallt)",砰,"Es knallt laut, als die Tür zugeschlagen wird."
73,übrig,剩下的,"Hast du noch etwas übrig, das ich essen kann?"
74,"verschwunden (verschwinden, verschwindet, verschwand, ist verschwunden)",消失,Die Sonne ist hinter den Wolken verschwunden.
75,schnappen,抓住,"Der Hund versucht, den Ball aus der Luft zu schnappen."
76,Jubel,欢呼,Der Jubel der Fans war ohrenbetäubend.
77,"unterbrechen (unterbricht, unterbrach, hat unterbrochen)",中断,"Kannst du mich bitte nicht unterbrechen, wenn ich spreche?"
78,anfeuern,加油,Die Fans werden die Mannschaft laut anfeuern.
79,"verspeisen (verspeist, verspeiste, hat verspeist)",用餐,Wir werden das Abendessen gemeinsam verspeisen.
80,davon,由此,Ich habe genug von dieser Diskussion.
81,"drehen (dreht, drehte, hat gedreht)",旋转,Kannst du bitte den Schlüssel im Schloss drehen?
82,anstarren,凝视,"Der Fremde begann, mich unheimlich anzustarren."
83,"nicken (nickt, nickte, hat genickt)",点头,Er nickt zustimmend während der Besprechung.
84,freudestrahlend,喜气洋洋的,Sie trat mit einem freudestrahlenden Gesicht ein.
85,entsetzen,震惊,Die Nachricht versetzte alle in Entsetzen.
86,zur Not,在必要时,Wir können zur Not einen Plan B in Betracht ziehen.
87,"zucken (zuckt, zuckte, hat gezuckt)",抽搐,"Sie konnte nicht verhindern, dass ihr Auge leicht zuckte."
88,Auswärts,外面,Das Fußballspiel findet heute Auswärts statt.
89,"runzelt (runzelt, runzelte, hat runzelt)",皱眉,"Er runzelt die Stirn, wenn er konzentriert ist."
90,"Pinnwand, Pinnwände (feminine)",留言板,Die wichtigen Termine hängen an der Pinnwand.
91,fein,精细,Das Kleid besteht aus feinem Stoff.
92,"schappen (schappt, schappte, hat geschappt)",夹取,"Sie versuchte, das heruntergefallene Geld mit der Hand zu schappen."
93,"verschwinden (verschwindet, verschwand, ist verschwunden)",消失,Der Dieb verschwindet spurlos in der Dunkelheit.
94,"Käfig, Käfige (masculine)",笼子,Der Vogel singt fröhlich in seinem Käfig.
95,"schleppen (schleppt, schleppte, hat geschleppt)",拖,"Kannst du mir bitte helfen, diese schweren Kisten zu schleppen?"
96,"Stolz (stolzer, stolzesten)",骄傲,Er ist stolz auf seine Leistungen.
97,"auflösen (löst auf, löste auf, hat aufgelöst)",解散,Die Gruppe hat sich aufgelöst.
98,"reinlassen (lässt rein, ließ rein, hat reingelassen)",放进来,Kannst du mich bitte reinlassen?
99,"schwören (schwört, schwor, hat geschworen)",发誓,"Sie schwört, die Wahrheit zu sagen."
100,"tänzeln (tänzelt, tänzelte, ist getänzelt)",舞动,Die Ballerina tänzelt elegant über die Bühne.
101,"aufbauen (baut auf, baute auf, hat aufgebaut)",建立,Das Team hat eine starke Verteidigung aufgebaut.
102,"Dreierspitze (Dreierspitzen, feminine)",三人领导,Die Firma hat eine neue Dreierspitze im Management.
103,"vorwärtslaufen (läuft vorwärts, lief vorwärts, ist vorwärts gelaufen)",向前跑,Der Sportler kann schnell vorwärtslaufen.
104,geradewegs,直接,Geh einfach geradewegs bis zur Ampel.
105,"Torjäger (Torjäger, masculine)",进球手,Der Torjäger erzielte in jedem Spiel Tore.
106,"gegnerisch (gegnerische, gegnerischen)",对手的,Die Mannschaft kämpft gegen den gegnerischen Angriff.
107,tatsächlich,实际上,Tatsächlich war er schon einmal hier.
108,"Riesenstampfer (Riesenstampfer, masculine)",巨大的跺脚声,Der Riesenstampfer erschütterte den Boden.
109,unaufhaltsam,不可阻挡的,Die Flutwelle war unaufhaltsam.
110,"Schuss (Schuss, Schüsse, masculine)",射门,Der Schuss des Stürmers ging knapp am Tor vorbei.
111,"abwehren (wehrt ab, wehrte ab, hat abgewehrt)",防御,"Der Torwart versucht, den Ball abzuwehren."
112,Verzweifeln,绝望,In schwierigen Zeiten sollten wir nicht verzweifeln.
113,"Tropfen (Tropfen, Tropfen, masculine)",滴,Das Wasser tropft langsam aus dem Wasserhahn.
114,hellwach,非常清醒,Trotz der späten Stunde war er hellwach.
115,spurten,全速奔跑,Die Läufer spurten zum Ziel.
116,pfeilgerade,笔直,Die Straße verläuft pfeilgerade durch die Wüste.
117,befördern,提升,Nach seiner Leistung wurde er befördert.
118,entgegen,相反,Seine Meinung steht entgegen der allgemeinen Auffassung.
119,"Augenblick (Augenblick, Augenblicke, masculine)",瞬间,Ein Augenblick kann das Leben verändern.
120,dauernd,持续不断,Der Lärm von draußen dauerte dauernd an.
121,baggern,挖掘,Die Arbeiter müssen den Boden für das Fundament baggern.
122,"Druck (Druck, Drücke, masculine)",压力,Die Arbeit unter Druck kann herausfordernd sein.
123,"Gegentreffer (Gegentreffer, Gegentreffer, masculine)",失球,Das Team erhielt einen unglücklichen Gegentreffer.
124,kassieren,遭受,Die Mannschaft musste mehrere Tore kassieren.
125,"Held (Held, Helden, masculine)",英雄,Der Held rettete die Stadt vor der Katastrophe.
126,verlegen,尴尬,"Er war verlegen, als er sie sah."
127,"Runde, Runden (feminine)",轮,Wir spielen eine Runde Poker.
128,"stupsen (stößt, stieß, hat gestoßen)",戳,"Er stößt ihn sanft an, um seine Aufmerksamkeit zu bekommen."
129,kichern,咯咯笑,"Die Kinder fingen an zu kichern, als der Clown auf die Bühne kam."
130,räuspert (räuspert sich),清嗓子,"Er räuspert sich, bevor er zu sprechen beginnt."
131,"wälzt (wälzt, wälzte, hat gewälzt)",滚动,Die Katze wälzt sich auf dem Boden.
132,wegen,因为,Wir sind wegen des Wetters zu Hause geblieben.
133,"Kopfstand, Kopfstände (masculine)",倒立,Kinder üben gerne Kopfstände im Garten.
134,verschwunden,消失,"Das Geheimnis ist verschwunden, niemand weiß, wo es ist."
135,"blinzeln (blinzelt, blinzelte, hat geblinzelt)",眨眼,Sie blinzelt in der grellen Sonne.
136,rauschen,嗖嗖声,Die Blätter rauschen im Wind.
137,Äste,树枝,Die Vögel sitzen auf den Ästen des Baumes.
138,"Zauberstab, Zauberstäbe (masculine)",魔法棒,Der Magier schwingt seinen Zauberstab.
139,"Aufregung,Aufregungen (feminine) ",激动,"Die Aufregung war im Raum spürbar, als der Star die Bühne betrat."
140,"belegen (belegt, belegte, hat belegt)",放在上面,Der Koch möchte die Pizza mit frischem Gemüse belegen.
141,staunen,惊讶,Die Kinder staunten über die bunten Lichter.
142,"flüstern (flüstert, flüsterte, hat geflüstert)",耳语,Sie flüstert ihm etwas Geheimes ins Ohr.
143,sozusagen,可以说,Es war sozusagen der Höhepunkt der Show.
144,"Klopfen (klopft, klopfte, hat geklopfte)",拍，敲，打,Sein Herz klopft vor Aufregung
145,sicher,确定（自信）,Plötzlich ist er sich seiner Sache ganze sicher
146,"abkommen (abkommen, kommt ab, kam ab, ist abgekommen)",协议,Die beiden Länder haben ein Abkommen über Handel geschlossen.
147,grübelnd,思考,"Sie saß grübelnd am Schreibtisch, während sie über ihre Entscheidung nachdachte."
148,"reichen (reicht, reichte, hat gereicht)",够,Ein Kuchen sollte für alle Gäste reichen.
149,"reichen (reicht, reichte, hat gereicht)",传递,Sie reicht ihm den Hörer
150,bundesligareif,德甲水平,Der junge Fußballspieler ist talentiert und bereits bundesligareif.
151,"besprochen (bespricht, besprach, hat besprochen)",讨论,Wir haben das Problem bereits ausführlich besprochen.
152,"gehalten (hält, hielt, hat gehalten)",保持,Er hat die Rede vor der Versammlung gehalten.
153,"Leitung, Leitungen (feminine)",领导/线路,Am anderen Ende der Leitung ist Schweigen.
154,Schweigen,沉默,Am anderen Ende der Leitung ist Schweigen.
155,"Mitgekriegen (kriegt mit, kriegte mit, hat mitgekriegt)",注意到,"Hast du mitgekriegt, was gestern passiert ist?"
156,"Anfeuern (feuert an, feuerte an, hat angefeuert)",为...加油,Die Fans werden die Mannschaft lautstark anfeuern.
157,"Warzen (Warze, Warzen (feminine))",疣,Er hatte einige Warzen an seiner Hand.
158,"wegzaubern (zaubert weg, zauberte weg, hat weggezaubert)",变魔术消失,Mit einem Fingerschnippen konnte er das Problem einfach wegzaubern.
159,riesengroß,巨大,Das neue Gebäude ist riesengroß und beeindruckend.
160,angucken,看,"Kannst du dir bitte dieses Foto angucken und mir sagen, was du denkst?"
161,"irgendeinen (irgendein, irgendeinen, irgendeines)",任何一个,"Ich brauche irgendeinen Stift, um das Formular auszufüllen."
162,"Ekeldinger (Ekelding, Ekeldinger (neuter))",恶心的东西,"Sie fand im Kühlschrank einige Ekeldinger, die schon lange abgelaufen waren."
163,"zögern (zögert, zögerte, hat gezögert)",犹豫,"Er sollte nicht zögern, seine Meinung zu äußern."
164,"betrachten (betrachtet, betrachtete, hat betrachtet)",观察,Er betrachtet das Gemälde im Museum.
165,heimlich,秘密,"Sie flüsterten heimlich, als sie dachten, niemand würde es hören."
166,"bemerken (bemerkt, bemerkte, hat bemerkt)",注意到,"Ich habe bemerkt, dass du heute Morgen nicht da warst."
167,"Retter, Retter (masculine)",拯救者,"Der Retter eilte zum Unfallort, um zu helfen."
168,"Verteidiger, Verteidiger (masculine)",辩护者,Der Verteidiger plädierte leidenschaftlich für seinen Mandanten.
169,mulmig,不安,"Mir wird mulmig, wenn ich an die bevorstehende Prüfung denke."
170,Ähnlich,类似,Diese beiden Situationen sind sich ähnlich.
171,"fügen (fügt, fügte, hat gefügt)",添加,Sie fügt dem Rezept eine Prise Salz hinzu.
172,"pfeifen (pfeift, pfiff, hat gepfiffen)",吹口哨,Der Wind pfeift durch die Bäume.
173,"wirken (wirkt, wirkte, hat gewirkt)",产生作用,Das Medikament wirkt schnell gegen die Schmerzen.
174,überlegen,考虑,"Ich muss überlegen, ob ich die Einladung annehmen kann."
175,"scheinen (scheint, schien, hat geschienen)",似乎,Die Sonne scheint heute besonders hell.
176,"kleben (klebt, klebte, hat geklebt)",粘,Der Kleber klebt sofort nach dem Auftragen.
177,förmlich,正式,Bei dieser Veranstaltung herrscht förmliche Kleiderordnung.
178,presecht,按压式,Das Ventil ist presecht und schließt automatisch.
179,Dampflok,蒸汽机车,Die Dampflok zieht den Zug über die Brücke.
180,dampfend,冒着蒸汽,Die dampfende Suppe duftet köstlich.
181,"zischen (zischt, zischte, hat gezischt)",嘶嘶声,Das heiße Wasser zischt in der Pfanne.
182,"Rauch, Rauch (masculine)",烟,Der Rauch stieg aus dem Schornstein auf.
183,"qualmen (qualmt, qualmte, hat gequalmt)",冒烟,Die alte Fabrik qualmt noch immer.
184,"verschwinden (verschwindet, verschwand, ist verschwunden)",消失,Das Schiff verschwindet am Horizont.
185,"Koloss, Kolosse (masculine)",庞然大物,Der Koloss ragt hoch in den Himmel.
186,"Aschehaufen, Aschehaufen (masculine)",灰烬堆,Der Aschehaufen bleibt nach dem Feuer übrig.
187,"verbrennen (verbrennt, verbrannte, hat verbrannt)",燃烧,Das Holz verbrennt im Kamin.
188,"Seitenlinie, Seitenlinien (feminine)",边线,Der Ball rollte über die Seitenlinie.
189,"Zuschauer, Zuschauer (masculine)",观众,Die Zuschauer jubelten laut.
190,gerichtet,朝向,Die antiken Säulen sind gerichtet und zeigen nach Osten.
191,furchterregend,令人生畏,Das furchterregende Ungeheuer brüllte laut.
192,offenbar,显然,Er ist offenbar nicht zu Hause.
193,"umdribbeln (umdribbelt, umdribbelte, hat umdribbelt)",过人,Der Fußballspieler umdribbelt geschickt seine Gegner.
194,Abwehr,防守,Die Abwehr des Teams war heute besonders stark.
195,"brüllen (brüllt, brüllte, hat gebrüllt)",吼叫,Der Löwe brüllt im Zoo.
196,obwohl,虽然,"Sie ging nach draußen, obwohl es regnete."
197,"reißen (reißt, riss, hat gerissen)",撕裂,"Das laute Geräusch kam, als er das Papier riss."
198,"aufhüpfen (hüpft auf, hüpfte auf, ist aufgehüpft)",跳起来,Die Kinder hüpften vor Freude auf.
199,tatsächlich,事实上,Das ist tatsächlich passiert.
200,warnend,警告的,Sie warf ihm einen warnenden Blick zu.
201,"knuffen (knufft, knuffte, hat geknufft)",轻推,Er knuffte seinen Freund spielerisch.
202,"erledigen (erledigt, erledigte, hat erledigt)",完成,"Sie muss noch einige Aufgaben erledigen, bevor sie gehen kann."
203,"entscheiden (entscheidet, entschied, hat entschieden)",决定,Sie muss eine entscheidende Wahl treffen.
204,ungeduldig,不耐烦,"Er wird ungeduldig, wenn er lange warten muss."
205,besorgt,担心,Die Mutter ist besorgt um ihr krankes Kind.
206,Stattdessen,反而,"Ich möchte lieber Tee trinken, stattdessen Kaffee."
207,"Trikot, Trikots (neuter)",球衣,Die Spieler tragen neue Trikots in diesem Spiel.
208,"Werbeaufdruck, Werbeaufdrucke (masculine)",广告印刷,Der Werbeaufdruck auf dem T-Shirt ist bunt.
209,"heizen (heizt, heizte, hat geheizt)",加热,Im Winter heizen wir das Haus mit der Heizung.
210,"flüstern (flüstert, flüsterte, hat geflüstert)",耳语,Sie flüstert ihrem Freund ein Geheimnis zu.
211,"blinzeln (blinzelt, blinzelte, hat geblinzelt)",眨眼,Er blinzelt in der grellen Sonne.
212,rüber,过来,"Komm rüber, ich möchte dir etwas zeigen."
213,Hölle,地狱,Die Vorstellung von der Hölle ist oft gruselig.
214,"Murmel, Murmeln (neuter)",弹珠,Die Kinder spielen mit Murmeln im Garten.
215,Gedärm,内脏,Der Metzger reinigt das Gedärm des Tieres.
216,"schlagen (schlägt, schlug, hat geschlagen)",打,Er schlägt den Ball mit voller Kraft.
217,mechanisch,机械的,Die Tür öffnet sich auf mechanische Weise.
218,bloß,仅仅,Das ist bloß eine Ausrede.
219,verstohlen,偷偷摸摸,Sie warf ihm einen verstohlenen Blick zu.
220,"Anstoß, Anstöße (masculine)",启动,Der Anstoß des Spiels erfolgt um 15:00 Uhr.
221,"drängen (drängt, drängte, hat gedrängt)",催促,Die Menschen drängen sich in den überfüllten Bus.
222,dicht,密集,"Der Nebel war so dicht, dass man kaum etwas sehen konnte."
223,tapfer,勇敢,Die tapferen Feuerwehrleute retteten das Kind aus dem brennenden Haus.
224,"treten (tritt, trat, hat getreten)",踢,Er tritt den Ball ins Tor.
225,"Fingerspitze, Fingerspitzen (feminine)",指尖,Sie berührte das Blatt sanft mit den Fingerspitzen.
226,"berühren (berührt, berührte, hat berührt)",触摸,Der Künstler kann mit seinen Werken die Herzen der Menschen berühren.
227,Leder,皮革,Die Tasche ist aus hochwertigem Leder.
228,"wackeln (wackelt, wackelte, hat gewackelt)",摇晃,"Der Tisch wackelt, weil er nicht stabil steht."
229,haushoch,压倒性,Das Team gewann haushoch mit einem deutlichen Vorsprung.
230,"flehen (fleht, flehte, hat gefleht)",乞求,Sie flehte um Vergebung für ihre Fehler.
231,"umgeben (umgibt, umgab, hat umgeben)",包围,Das Schloss ist von hohen Mauern umgeben.
232,"ausgehen von (geht aus, ging aus, ist ausgegangen)",出发于,"Wir gehen davon aus, dass es morgen regnen wird."
233,"kündigen (kündigt, kündigte, hat gekündigt)",宣布,"Die Firma kündigt an, dass es nächste Woche eine große Ankündigung geben wird."
234,"beschließen (beschließt, beschloss, hat beschlossen)",决定,"Wir haben beschlossen, nächstes Jahr nach Japan zu reisen."
235,"zögern (zögert, zögerte, hat gezögert)",犹豫,"Er zögerte einen Moment, bevor er die Tür öffnete."
236,"übel nehmen (nimmt übel, nahm übel, hat übel genommen)",生气,"Bitte nimm es mir nicht übel, ich wollte dich nicht verletzen."
237,"besprechen (bespricht, besprach, hat besprochen)",讨论,"Lass uns das später besprechen, wenn wir mehr Zeit haben."
238,Stufe,阶段,Sie hat die nächste Stufe ihrer Karriere erreicht.
239,längst,早已,Das Problem ist längst gelöst worden.
240,Wanderweg,徒步道,Der Wanderweg führt durch den Wald und entlang des Flusses.
241,Aussichtspunkt,观景点,Von diesem Aussichtspunkt aus hat man einen herrlichen Blick über die Stadt.
242,Aufmerksamkeit,注意力,"Der Lehrer bat die Schüler, ihre Aufmerksamkeit auf das Whiteboard zu richten."
243,Aushang,张贴物,An diesem Aushang finden Sie wichtige Informationen.
244,Papierkram,文件工作,"Ich muss noch etwas Papierkram erledigen, bevor ich nach Hause gehen kann."
245,Buchhaltung,会计,"Die Buchhaltung ist dafür verantwortlich, die Finanzen des Unternehmens zu verwalten."
246,Mindestlohn,最低工资,Der Mindestlohn wurde kürzlich erhöht.
247,eingeschränkt,有限的,Die Möglichkeiten sind aufgrund des Budgets eingeschränkt.
248,Kram,杂物,Sie müssen Ihren Kram aufräumen.
249,bereits,已经,Ich bin bereits zu Hause.
250,"sich zusammenreißen (reißt zusammen, riss zusammen, hat zusammengerissen)",控制自己,"Er muss sich zusammenreißen, um nicht zu weinen."
251,allerdings,确实,Das ist allerdings ein interessanter Punkt.
252,"der Gesichtszug, Gesichtszüge (masculine)",面部特征,Seine Gesichtszüge verrieten seine Enttäuschung.
253,hierher,到这里,Kommen Sie bitte hierher.
254,"der Ruhm, Ruhm (masculine)",名誉,Sein Ruhm verbreitete sich schnell.
255,gelangen,到达,Sie werden sicherlich rechtzeitig dorthin gelangen.
256,"sich nähern (nähert sich, näherte sich, hat sich genähert)",靠近,Das Schiff nähert sich dem Hafen.
257,necken,逗弄,Er neckt gerne seine Geschwister.
258,verblüffend,令人惊讶的,Das war eine verblüffende Antwort.
259,feststellen,确定,Wir müssen die genauen Ursachen feststellen.
260,"sich wenden an (wendet sich an, wandte sich an, hat sich gewandt)",求助于,Sie können sich jederzeit an mich wenden.
261,umwandeln,转变,Er konnte die Daten in das richtige Format umwandeln.
262,"sich anziehen (zieht an, zog an, hat angezogen)",穿上,"Sie zieht sich schnell an, um die Tür zu öffnen."
263,verschaffen,获取,Er konnte sich Zugang zu den Informationen verschaffen.
264,"die Geschäftsleitung, Geschäftsleitungen (feminine)",经营管理,"Die Geschäftsleitung hat beschlossen, das Projekt zu verschieben."
265,laufend,持续的,Die Maschine arbeitet mit einer laufenden Geschwindigkeit.
266,entwerfen,设计,Sie müssen das Produkt neu entwerfen.
267,aufnehmen,录制,Er wollte ein Video aufnehmen.
268,zusammensetzen,组合,Er konnte das Puzzle leicht zusammensetzen.
269,streng,严格的,Der Lehrer ist sehr streng.
270,logisch,逻辑的,Seine Argumentation war logisch und überzeugend.
271,"die Buchhaltung, Buchhaltungen (feminine)",会计,Die Buchhaltung sollte regelmäßig aktualisiert werden.
272,"der Ausdruck, Ausdrücke (masculine)",表达,Sie übte verschiedene Ausdrücke vor dem Spiegel.
273,"die Rentenkasse, Rentenkassen (feminine)",养老基金,Die Rentenkasse wird in Zukunft möglicherweise erhöht werden.
274,"der Erlös, Erlös (masculine)",收益,Der Erlös aus dem Verkauf wird für wohltätige Zwecke gespendet.
275,anlegen,投资,Er möchte sein Geld sicher anlegen.
276,"die Zusatzrente, Zusatzrenten (feminine)",额外养老金,Die Zusatzrente bietet zusätzliche finanzielle Sicherheit im Alter.
277,"die Einnahme, Einnahmen (feminine)",收入,Die Einnahmen des Unternehmens sind im letzten Quartal gestiegen.
278,"die Immobilie, Immobilien (feminine)",房地产,Sie investierten in Immobilien in der Innenstadt.
279,sowohl,既,Er kann sowohl singen als auch tanzen.
280,gegen Bezahlung,付费,Der Service ist nur gegen Bezahlung verfügbar.
281,solche,这样的,Solche Ereignisse passieren nicht oft.
282,Weile,一会儿,Warten Sie bitte einen Moment.
283,verwirrt,困惑的,Sie sah ihn mit einem verwirrten Blick an.
284,erarbeiten,拼搏,Sie müssen sich Ihren Erfolg hart erarbeiten.
285,fertigstellen,完成,Das Projekt muss bis nächsten Freitag fertiggestellt sein.
286,weiterhin,继续,"Wir werden weiterhin hart arbeiten, um unser Ziel zu erreichen."
287,fiktiv,虚构的,Das Buch erzählt eine fiktive Geschichte.
288,"die Figur, Figuren (feminine)",人物,Die Figur des Helden war gut ausgearbeitet.
289,"die Gestalt, Gestalten (feminine)",形状,Die Gestalt des Baumes war im Nebel kaum zu erkennen.
290,annehmen,假设,"Wir müssen annehmen, dass er recht hat."
291,keinerlei,没有任何,Es gibt keinerlei Grund zur Sorge.
292,"Verlust, Verluste (masculine)",损失,Die Verluste des Unternehmens sind enorm.
293,"sich verschreiben (verschreibt sich, verschrieb sich, hat sich verschrieben)",误写,Er verschrieb sich beim Ausfüllen des Formulars.
294,Sankt Nimmerleinstag,愚人节(猴年马月),Du glaubst doch nicht an Sankt Nimmerleinstag!
295,taub,聋,Der alte Mann ist auf einem Ohr taub.
296,seufzen,叹气,"Sie seufzten vor Erleichterung, als die Prüfung vorbei war."
297,derartig,如此的,Solch derartige Unhöflichkeit ist inakzeptabel.
298,"das Drama, Dramen (neuter)",戏剧,Das Drama war sehr bewegend.
299,"sich schnappen (schnappt sich, schnappte sich, hat sich geschnappt)",抓住,Der Hund schnappte sich den Ball und lief davon.
300,stinksauer,暴跳如雷,"Er war stinksauer, als er erfuhr, dass er den Zug verpasst hatte."
301,"sich einbilden (bildet sich ein, bildete sich ein, hat sich eingebildet)",自以为是,"Er bildet sich ein, dass er immer Recht hat."
302,"aufdrehen (dreht auf, drehte auf, hat aufgedreht)",开大,Kannst du bitte die Heizung aufdrehen?
303,"einfallen (fällt ein, fiel ein, ist eingefallen)",想起,"Es fällt mir ein, dass ich meinen Schlüssel im Auto gelassen habe."
304,klingeln,铃响,"Das Telefon klingelte, als ich gerade duschte."
305,"die Sprechanlage, Sprechanlagen (feminine)",对讲机,Über die Sprechanlage wurde eine wichtige Durchsage gemacht.
306,zögern,犹豫,"Er zögerte einen Moment, bevor er antwortete."
307,"hinzufügen (fügt hinzu, fügte hinzu, hat hinzugefügt)",添加,"Bitte hinzufügen, dass wir noch Milch brauchen."
308,Gleichfalls,同样,"""Ich wünsche Ihnen einen schönen Tag! - Gleichfalls!"""
309,erneut,再次,"Er versuchte es erneut, diesmal mit mehr Entschlossenheit."
310,derselbe,同样的,"Das ist derselbe Pullover, den ich gestern getragen habe."
