,German,中文,Example
82,"Schlaganfall, Schlaganfälle (masculine)",中风,Mein Großvater hatte einen schweren Schlaganfall.
83,"Eintragung, Eintragungen (feminine)",登记,Die Eintragung in das Gästebuch ist wichtig.
84,Vorfahren,祖先,Meine Vorfahren stammen aus Deutschland.
85,Flüchten,逃跑,Die Menschen flüchten vor dem Krieg. 
86,"Dieb, Diebe (masculine)",小偷,Der Dieb stiehlt das Geld.
87,"Anwaltskanzlei, Anwaltskanzlei (feminine)",律师事务所,Die Anwaltskanzlei befindet sich im Zentrum der Stadt.
88,ein Testament machen,立遗嘱,"Er möchte ein Testament machen, bevor er ins Krankenhaus geht."
89,"übergeben (übergibt, übergab, hat übergeben)",交出,Bitte übergeben Sie das Paket dem Kurier.
90,sobald,一旦,"Sobald er zurückkommt, werden wir essen gehen."
91,bettlägerig,卧床,Die bettlägerige Patientin braucht ständige Pflege.
92,rein,纯净,Das Wasser in den Bergen ist sehr rein.
93,spontan,自发,Sie traf eine spontane Entscheidung und buchte einen Last-Minute-Flug.
94,aufarbeiten,整理,"Er muss seine Gedanken aufarbeiten, bevor er eine Entscheidung trifft."
95,"Analphabet, Analphabeten (feminine)",文盲,"Das Programm richtet sich an Analphabeten, die Lesen und Schreiben lernen möchten."
96,"Aufzeichnungen, Aufzeichnung (feminine)",记录,Die Aufzeichnungen des Meetings sind sehr detailliert.
97,ebenso,同样,Ich stimme deiner Meinung ebenso zu.
98,gewissermaßen,某种程度上,Gewissermaßen haben wir alle eine Rolle zu spielen.
99,"Schaf, Schafe (neuter)",羊,Die Schafe grasen friedlich auf der Weide.
100,"schätzen (schätzt, schätzte, hat geschätzt)",估计,Er schätzt den Wert seines Hauses auf über eine Million Euro.
101,blättern,翻页,"Er blätterte durch die Seiten des Buches, auf der Suche nach Antworten."
102,"laden (lädt, lud, hat geladen)",装载,Wir müssen die Einkäufe in das Auto laden.
103,kapitelweise,按章节,Das Buch wurde kapitelweise ins Chinesische übersetzt.
104,"überarbeiten (überarbeitet, überarbeitete, hat überarbeitet)",修改,"Der Autor muss den Text überarbeiten, um ihn zu verbessern. "
105,anstatt,而不是,"Er entschied sich anstatt zu bleiben, zu gehen."
106,"Überfahrt, Überfahrten (feminine)",渡轮,Die Überfahrt nach Helgoland dauert etwa zwei Stunden.
107,seekrank,晕船,Nach einer Stunde auf See wurde er seekrank.
108,"Siedler, Siedler (masculine)",移民,Die Siedler gründeten eine neue Kolonie.
109,"winzig (kleiner, am kleinsten)",微小,In dem winzigen Dorf gab es nur eine Kirche.
110,umtauschen,换,"Sie wollte die Hose umtauschen, weil sie zu klein war."
111,"Mitgift, Mitgiften (feminine)",嫁妆,Die Mitgift wurde traditionell von den Eltern der Braut bezahlt.
112,ganzes Hab und Gut,全部财产,Die Familie verlor bei dem Brand ihr ganzes Hab und Gut.
113,"Sammelband, Sammelbände (masculine)",合集,Die Sammelbände enthalten die gesammelten Werke des Autors.
114,"verdammt (verdammter, am verdammtesten)",该死,Das verdammte Auto springt schon wieder nicht an.
115,"Bürgerkrieg, Bürgerkriege (masculine)",内战,Der Bürgerkrieg führte zu großem Leid in der Bevölkerung.
116,Privatsphäre,隐私,Die Privatsphäre der Bürger wurde verletzt.
117,zuvor,之前,Er hatte zuvor noch nie so eine gute Note bekommen.
118,"Gasthof, Gasthöfe (masculine)",客栈,Der Gasthof bot gemütliche Zimmer und gutes Essen.
119,"Gastwirt, Gastwirte (masculine)",店主,Der Gastwirt kümmerte sich liebevoll um seine Gäste.
120,Umstände,情况,"Unter den gegebenen Umständen war es schwer, eine Entscheidung zu treffen."
121,Schuppen,鳞,Die Schuppen des Fisches glänzten in der Sonne.
122,"Erntehelfer, Erntehelfer (masculine)",收割工人,Die Erntehelfer halfen beim Sammeln der Früchte.
123,"Stapel, Stapel (masculine)",堆,Die Bücher lagen in Stapeln auf dem Tisch.
124,"einmischen (mischt ein, mischte ein, hat eingemischt)",干预,Man sollte sich nicht in private Angelegenheiten einmischen.
125,"Weib, Weiber (neuter)",女人 (negative and undated),Das Weib des Bauern half ihm auf dem Feld.
126,verlangen,要求,Er verlangte nach einem Glas Wasser.
127,"gering (geringer, am geringsten)",微小,Die Chancen auf Erfolg waren gering.
128,"Summe, Summen (feminine)",总额,Die Summe des Geldes reichte nicht aus.
129,"Gemeinschaftsküche, Gemeinschaftsküchen (feminine)",公共厨房,In der Gemeinschaftsküche können alle Bewohner kochen.
130,"Ruf, Rufe (masculine)",声誉,Sein Ruf als zuverlässiger Mitarbeiter war bekannt.
131,"Grundstück, Grundstücke (neuter)",土地,Das Grundstück war groß genug für den Bau eines Hauses.
132,Anderthalb,一个半,Es waren anderthalb Stunden bis zum Ziel.
133,Gehendes,徒步,Das Gehende Personal lief den ganzen Tag.
134,"Herkunft, Herkünfte (feminine)",出生地,Die Herkunftsregion des Weins beeinflusst seinen Geschmack.
135,veranlassen,促使,"Er veranlasste sie, ihre Meinung zu ändern."
136,"abbrechen (bricht ab, brach ab, hat abgebrochen)",取消,Die Veranstaltung wurde aufgrund des Wetters abgebrochen. 
137,per Du,亲密,Können wir per Du sein?
138,ausschließlich,仅,Diese Veranstaltung richtet sich ausschließlich an Mitglieder.
139,zusammenfassen,总结,Kannst du bitte diesen Bericht zusammenfassen?
140,freistellen,解雇,Das Unternehmen musste einige Mitarbeiter freistellen.
141,"Schriftstück, Schriftstücke (neuter)",文件,Bitte unterschreiben Sie dieses Schriftstück.
142,genehmigen,批准,Der Manager hat den Antrag genehmigt.
143,"Recherche, Recherchen (feminine)",调查,Die Recherche ergab interessante Ergebnisse.
144,dortigen,那里的,Die dortigen Verhältnisse sind sehr unterschiedlich
145,"betreten (betritt, betrat, hat betreten)",进入,Bitte betreten Sie den Raum.
146,"Geselle, Gesellen (masculine)",同事,Die Gesellen arbeiten zusammen an dem Projekt.
147,"durchführen (führt durch, führte durch, hat durchgeführt)",进行,Wir führen eine Umfrage durch.
148,den Blick gesenkt halten,低头,"Sie hielt den Blick gesenkt, als sie den Raum betrat."
149,unterwürfig,卑躬屈膝,Er trat mit einer unterwürfigen Haltung auf.
150,hingegen,相反,"Ich bevorzuge Tee, hingegen trinkst du lieber Kaffee."
151,"Teint, Teints (masculine)",肤色,Sie hat einen schönen Teint.
152,"aufhalten (hält auf, hielt auf, hat aufgehalten)",阻止,Die Polizei konnte den Verdächtigen nicht aufhalten.
153,Besorgung machen,办事,"Ich muss noch einige Besorgungen machen, bevor wir losfahren."
154,"duzen (duzt, duzte, hat geduzt)",称你你,In unserer Firma duzen sich alle Mitarbeiter.
155,das war’s dann wohl,就这样吧,"Das war's dann wohl, ich gehe jetzt nach Hause."
156,sich nicht schicken,不合适,"Es schickt sich nicht, in Gegenwart älterer Menschen unhöflich zu sein."
157,"spüren (spürt, spürte, hat gespürt)",感觉,Ich spüre einen leichten Windhauch.
158,"Eheschließung, Eheschließungen (feminine)",结婚,Die Eheschließung findet am Samstag statt.
159,"Ausschau halten (hält Ausschau, hielt Ausschau, hat Ausschau gehalten)",寻找,Wir halten Ausschau nach einem neuen Haus.
160,"Feder, Federn (feminine)",羽毛笔,Sie schrieb den Brief mit einer Feder.
161,"Zeile, Zeilen (feminine)",行,Bitte schreiben Sie Ihren Namen in die obere Zeile.
162,"Zeder, Zedern (feminine)",雪松,Der Duft der Zeder erfüllte den Raum.
163,"Waldpfad, Waldpfade (masculine)",森林小径,Wir spazierten gemütlich auf dem Waldpfad.
164,"abstellen (stellt ab, stellte ab, hat abgestellt)",停放,Bitte stellen Sie Ihr Fahrrad an der dafür vorgesehenen Stelle ab.
165,"Stockwerk, Stockwerke (neuter)",楼层,Die Büros befinden sich im zweiten Stockwerk.
166,obere,上方的,Der obere Teil des Schranks ist leer.
167,"auftauchen (taucht auf, tauchte auf, ist aufgetaucht)",出现,Plötzlich tauchte ein Schiff am Horizont auf.
168,akzeptabel,可接受的,Die Bedingungen sind für uns akzeptabel.
169,gleichberechtigen,平等对待,"Es ist wichtig, Männer und Frauen gleichberechtigt zu behandeln."
170,"zwingen (zwingt, zwang, hat gezwungen)",强迫,Niemand sollte zu einer Entscheidung gezwungen werden.
171,Mittelalter (neuter),中世纪,Das Mittelalter war eine interessante Epoche der Geschichte.
172,"Überfahrt, Überfahrten (feminine)",渡船,Die Überfahrt nach Manhattan dauerte nur 30 Minuten.
173,Flehentlich,恳求地,Er sah sie flehentlich an.
174,"einwilligen (willigt ein, willigte ein, hat eingewilligt)",同意,Er willigte endlich in die Bedingungen ein.
175,"recht behalten (behält recht, behielt recht, hat recht behalten)",保持正确,Ich hatte doch recht behalten!
176,"bevorzugen (bevorzugt, bevorzugte, hat bevorzugt)",偏爱,Ich bevorzuge Tee gegenüber Kaffee.
177,"Reederei, Reedereien (feminine)",航运公司,Die Reederei bietet regelmäßige Fahrten an.
178,"begehren (begehrt, begehrte, hat begehrt)",渴望,Er begehrte schon lange nach dieser Stelle.
179,"Tagelöhner, Tagelöhner (masculine)",雇工,Die Tagelöhner arbeiteten auf den Feldern.
180,standesgemäß,适当地,Er kleidete sich standesgemäß für die Hochzeit.
181,"eingehen (geht ein, ging ein, ist eingegangen)",进入,Er ging auf die Details des Vertrags ein.
182,"Briefwechsel, Briefwechsel (masculine)",通信,Der Briefwechsel zwischen den beiden Unternehmen war langwierig.
